Account,Biller,Date
2030116,8900.89,"2016,1,27"
1693509,1331.48,"2012,5,19"
5115047,4640.80,"2016,2,15"
5872184,11237.90,"2015,10,29"
4425416,11516.95,"2018,1,6"
21074,4831.85,"2012,12,29"
2309813,11273.10,"2015,7,31"
1558607,6499.47,"2014,9,16"
3844889,15530.10,"2011,11,1"
2959148,14768.39,"2012,2,1"
5944912,6361.79,"2014,7,29"
3727010,2092.39,"2014,4,24"
3300741,15080.10,"2017,1,21"
5412257,6935.87,"2012,10,4"
2780814,3949.55,"2019,12,8"
3972223,12823.40,"2017,12,26"
1454663,5873.59,"2011,11,12"
3221953,4481.84,"2014,7,22"
2994580,13972.80,"2012,4,12"
5372097,15553.22,"2013,6,6"
1170519,13619.86,"2018,2,2"
4000842,1583.21,"2017,3,31"
4306268,15990.55,"2019,5,10"
5735407,15883.85,"2014,8,24"
2441266,9130.91,"2018,3,29"
229577,13689.95,"2014,12,29"
1685535,4080.21,"2014,11,1"
4604890,17764.10,"2018,10,19"
6021320,4497.27,"2013,2,14"
1373987,8747.93,"2012,10,10"
4968033,5334.62,"2016,10,18"
1001070,3257.78,"2014,2,3"
4186125,5642.57,"2015,9,28"
6465913,7828.78,"2011,10,22"
3874979,18908.81,"2019,5,30"
295807,11538.27,"2012,9,30"
651752,11483.91,"2015,2,10"
1379366,8877.72,"2015,12,20"
100292,7125.16,"2013,7,18"
6249577,5872.89,"2012,7,2"
5872179,6382.70,"2018,3,22"
2396132,3709.29,"2016,8,18"
4291705,13758.67,"2019,7,18"
5654137,14357.27,"2013,8,24"
7076008,6672.57,"2011,2,9"
1470821,9752.68,"2011,2,20"
2945894,505.71,"2013,2,5"
4296553,9563.65,"2015,7,21"
1752210,4368.28,"2012,12,27"
6001034,13448.35,"2018,4,7"
3844400,7612.64,"2018,6,22"
1104865,4602.74,"2012,1,3"
4979859,8402.51,"2012,6,24"
3243805,17882.67,"2019,12,10"
5486571,18145.97,"2011,11,18"
1704309,17638.47,"2017,4,11"
5058468,12707.54,"2016,5,19"
1360249,8076.95,"2016,8,21"
3737260,16408.92,"2014,6,7"
4985291,5050.69,"2014,10,8"
4083731,15300.10,"2016,12,3"
5842173,8223.94,"2012,8,1"
4112520,4763.98,"2016,5,5"
2187941,1641.49,"2019,5,14"
3936147,10898.90,"2016,10,22"
4107042,12058.76,"2016,11,22"
3117142,1710.56,"2016,1,1"
2118,2341.93,"2014,12,21"
4479252,6568.37,"2013,1,23"
1749711,17861.64,"2017,9,13"
5505720,18468.54,"2015,12,12"
2596333,5345.41,"2017,8,7"
4520365,1197.63,"2019,12,21"
4842820,13274.36,"2015,12,31"
3460593,18569.88,"2016,8,24"
6921751,14921.53,"2013,10,30"
4784855,10210.61,"2017,5,30"
2122790,10592.96,"2019,4,21"
586049,9814.84,"2014,11,9"
313532,18888.27,"2013,1,23"
2407251,11583.28,"2016,10,31"
5029327,10140.87,"2011,6,12"
6217067,8583.13,"2015,10,4"
2268961,486.73,"2013,3,21"
916981,8695.73,"2011,10,20"
1958827,10369.94,"2017,10,22"
2636553,10249.13,"2016,12,31"
4482331,2776.38,"2016,3,31"
825557,3894.19,"2015,11,22"
6233790,16910.89,"2014,3,10"
1279232,13172.61,"2013,7,10"
1712673,8609.41,"2012,11,8"
4474110,5042.22,"2011,6,14"
3515714,4993.20,"2011,12,22"
2769600,12195.91,"2016,4,15"
900902,3502.83,"2019,12,6"
323766,10173.86,"2016,9,16"
5827698,15648.39,"2017,9,15"
5626776,5624.51,"2017,2,22"
3621470,8462.59,"2019,5,4"
6821034,14521.56,"2016,1,4"
3372569,12634.90,"2012,10,8"
4837091,16827.78,"2012,3,25"
3281536,1242.55,"2015,12,14"
564320,3021.17,"2018,3,29"
6924238,15528.39,"2017,12,5"
2157414,6383.45,"2016,7,8"
4520410,15940.67,"2018,8,17"
1774905,12359.40,"2011,9,20"
370296,5847.88,"2017,2,17"
1603851,11320.69,"2013,12,23"
2617180,5913.54,"2017,8,19"
3316706,5459.63,"2014,4,10"
4186489,16901.55,"2014,8,15"
3931276,4130.27,"2015,2,20"
1596877,4281.78,"2019,11,2"
480448,3284.20,"2018,9,14"
2030116,2587.51,"2013,2,6"
1693509,8442.51,"2015,4,11"
5115047,15331.72,"2012,4,19"
5872184,10369.71,"2013,3,24"
4425416,15440.42,"2011,1,21"
21074,3945.25,"2012,4,29"
2309813,819.72,"2016,4,23"
1558607,6758.96,"2012,5,25"
3844889,788.50,"2017,12,25"
2959148,5671.47,"2012,2,25"
5944912,11144.51,"2012,10,2"
3727010,11940.57,"2016,4,8"
3300741,14452.13,"2012,2,13"
5412257,4839.15,"2011,9,30"
2780814,9620.67,"2015,3,12"
3972223,8248.70,"2017,6,8"
1454663,1760.60,"2012,4,16"
3221953,8157.11,"2012,7,10"
2994580,8645.58,"2013,8,15"
5372097,13932.39,"2012,5,5"
1170519,2082.29,"2016,9,6"
4000842,1247.37,"2012,6,8"
4306268,5628.38,"2016,11,5"
5735407,8963.68,"2014,5,11"
2441266,16711.20,"2017,3,18"
229577,15971.12,"2019,10,31"
1685535,3188.94,"2017,9,20"
4604890,12498.18,"2011,4,18"
6021320,10435.58,"2015,8,26"
1373987,6113.14,"2013,10,8"
4968033,18762.22,"2018,6,15"
1001070,16440.25,"2012,12,5"
4186125,18384.23,"2019,4,2"
6465913,9052.16,"2011,10,21"
3874979,11652.11,"2016,6,9"
295807,18369.26,"2013,12,22"
651752,5666.26,"2013,4,7"
1379366,7989.75,"2013,8,2"
100292,16392.46,"2015,8,17"
6249577,5377.64,"2015,12,27"
5872179,18676.26,"2012,5,27"
2396132,12945.98,"2014,11,16"
4291705,9536.69,"2018,2,21"
5654137,8158.52,"2017,4,28"
7076008,4365.79,"2018,1,20"
1470821,13822.47,"2016,4,24"
2945894,9356.24,"2013,3,21"
4296553,15637.43,"2014,11,19"
1752210,18736.61,"2013,11,21"
6001034,1399.79,"2017,6,28"
3844400,8685.20,"2015,7,6"
1104865,15460.19,"2019,2,18"
4979859,9214.78,"2011,9,8"
3243805,10049.96,"2013,7,8"
5486571,17637.69,"2019,12,6"
1704309,4238.29,"2018,4,10"
5058468,5994.17,"2015,11,8"
1360249,2424.87,"2016,3,2"
3737260,4619.51,"2015,9,20"
4985291,18450.52,"2017,5,11"
4083731,6556.94,"2016,2,23"
5842173,9480.83,"2018,4,23"
4112520,14056.29,"2019,2,11"
2187941,3300.28,"2017,11,17"
3936147,5359.79,"2019,5,4"
4107042,13107.79,"2012,6,14"
3117142,11482.39,"2012,3,8"
2118,13063.30,"2016,6,1"
4479252,13006.37,"2014,11,30"
1749711,5100.46,"2019,2,3"
5505720,9013.87,"2016,4,25"
2596333,10781.71,"2015,6,18"
4520365,17333.89,"2014,6,13"
4842820,4936.51,"2016,3,7"
3460593,2678.81,"2017,7,29"
6921751,5104.93,"2015,7,12"
4784855,16211.74,"2013,10,3"
2122790,10834.73,"2015,7,21"
586049,10407.38,"2018,5,10"
313532,5071.85,"2018,2,5"
2407251,17246.74,"2014,9,1"
5029327,3941.52,"2014,12,31"
6217067,5393.60,"2017,12,6"
2268961,7676.95,"2012,1,12"
916981,10075.84,"2013,8,20"
1958827,17755.83,"2016,10,14"
2636553,5962.38,"2012,5,20"
4482331,722.44,"2019,5,5"
825557,9575.16,"2018,11,16"
6233790,17093.61,"2011,12,16"
1279232,12868.57,"2016,5,16"
1712673,8276.65,"2015,8,7"
4474110,12050.73,"2016,9,5"
3515714,17045.22,"2015,11,29"
2769600,14196.66,"2019,9,7"
900902,12375.34,"2019,4,27"
323766,18074.26,"2018,12,16"
5827698,3907.22,"2019,5,31"
5626776,13903.72,"2016,4,29"
3621470,5915.53,"2018,4,8"
6821034,16543.15,"2012,6,18"
3372569,7772.77,"2011,3,3"
4837091,3670.85,"2016,10,2"
3281536,4690.68,"2019,9,21"
564320,13616.23,"2013,8,28"
6924238,14393.69,"2016,8,19"
2157414,3166.88,"2014,1,3"
4520410,4787.80,"2018,7,1"
1774905,1361.31,"2016,1,4"
370296,9414.20,"2011,9,5"
1603851,2266.14,"2013,8,17"
2617180,439.43,"2013,3,6"
3316706,444.38,"2018,6,13"
4186489,10331.73,"2013,8,16"
3931276,16524.45,"2015,6,26"
1596877,1168.79,"2015,4,6"
480448,16691.29,"2016,8,11"
2030116,8443.75,"2015,9,10"
1693509,7736.77,"2011,12,24"
5115047,16486.40,"2016,2,22"
5872184,902.55,"2012,5,8"
4425416,5682.69,"2011,12,9"
21074,5245.79,"2015,3,16"
2309813,10072.24,"2014,8,24"
1558607,13924.98,"2011,1,14"
3844889,4124.74,"2017,3,7"
2959148,18691.28,"2019,7,23"
5944912,2579.26,"2011,5,9"
3727010,1646.19,"2012,3,23"
3300741,7273.75,"2012,1,6"
5412257,8867.98,"2012,4,22"
2780814,13987.89,"2014,12,6"
3972223,9715.36,"2018,4,17"
1454663,4655.39,"2012,11,13"
3221953,8318.56,"2016,9,13"
2994580,13410.11,"2011,10,24"
5372097,15518.17,"2014,1,25"
1170519,15858.48,"2013,3,6"
4000842,16296.79,"2011,1,19"
4306268,11023.24,"2016,12,11"
5735407,4491.15,"2018,8,15"
2441266,784.92,"2011,10,1"
229577,3185.57,"2019,11,9"
1685535,15233.13,"2014,2,18"
4604890,4905.24,"2019,1,1"
6021320,12405.20,"2011,10,25"
1373987,6904.67,"2013,10,30"
4968033,7919.54,"2015,9,14"
1001070,6047.59,"2017,4,14"
4186125,18452.87,"2019,1,12"
6465913,11375.74,"2012,2,22"
3874979,219.80,"2011,7,31"
295807,14348.81,"2019,4,10"
651752,13388.57,"2014,8,16"
1379366,3696.35,"2013,4,28"
100292,5351.45,"2012,5,9"
6249577,6113.29,"2015,8,6"
5872179,16078.49,"2013,1,16"
2396132,2693.52,"2014,11,4"
4291705,14385.30,"2015,2,9"
5654137,18864.28,"2019,3,24"
7076008,7715.12,"2012,10,3"
1470821,216.13,"2012,5,1"
2945894,3128.94,"2014,5,30"
4296553,7388.99,"2013,8,17"
1752210,5385.51,"2013,9,2"
6001034,16314.33,"2015,8,11"
3844400,18715.70,"2017,11,30"
1104865,8826.72,"2015,4,11"
4979859,18805.61,"2019,9,12"
3243805,10293.67,"2015,3,9"
5486571,8174.33,"2011,1,29"
1704309,2229.35,"2018,2,18"
5058468,16352.98,"2015,5,17"
1360249,8776.16,"2017,8,27"
3737260,15067.61,"2019,2,1"
4985291,2954.46,"2012,6,12"
4083731,9586.77,"2016,12,13"
5842173,8511.58,"2019,8,28"
4112520,6464.58,"2011,11,10"
2187941,1427.64,"2019,12,5"
3936147,12433.55,"2018,1,11"
4107042,8666.13,"2016,4,26"
3117142,5530.69,"2011,7,11"
2118,11071.72,"2013,4,11"
4479252,13737.22,"2013,12,30"
1749711,10963.21,"2015,9,12"
5505720,1832.40,"2017,3,16"
2596333,5440.68,"2012,5,2"
4520365,3421.91,"2018,2,25"
4842820,10843.16,"2013,8,23"
3460593,7424.73,"2016,8,10"
6921751,4571.25,"2015,10,24"
4784855,11920.48,"2014,9,17"
2122790,414.99,"2012,6,16"
586049,3807.64,"2013,2,19"
313532,18202.48,"2018,8,19"
2407251,4140.93,"2015,6,24"
5029327,16572.24,"2013,4,30"
6217067,9526.73,"2018,12,1"
2268961,11187.12,"2013,7,21"
916981,11496.55,"2018,7,16"
1958827,1914.53,"2019,11,27"
2636553,18114.39,"2014,10,3"
4482331,14777.73,"2015,7,9"
825557,12594.51,"2011,7,10"
6233790,16893.77,"2017,7,14"
1279232,11607.84,"2017,4,11"
1712673,9797.52,"2012,8,18"
4474110,556.45,"2013,9,22"
3515714,7904.73,"2019,6,26"
2769600,12082.25,"2013,7,27"
900902,2508.19,"2018,4,5"
323766,17834.75,"2012,7,1"
5827698,12869.21,"2017,9,5"
5626776,2328.59,"2018,4,25"
3621470,14235.43,"2011,6,4"
6821034,8997.20,"2011,4,27"
3372569,16945.31,"2017,12,6"
4837091,13422.57,"2013,1,13"
3281536,16148.53,"2015,3,30"
564320,17299.57,"2013,10,2"
6924238,18685.20,"2012,12,6"
2157414,3675.99,"2015,3,4"
4520410,13231.36,"2017,5,25"
1774905,17039.54,"2013,2,20"
370296,5800.39,"2012,2,22"
1603851,12693.80,"2017,10,1"
2617180,5195.82,"2013,11,26"
3316706,6800.27,"2017,3,27"
4186489,3828.61,"2018,12,2"
3931276,17383.50,"2012,4,10"
1596877,18291.82,"2015,7,2"
480448,12818.50,"2017,9,24"
2030116,12012.70,"2011,3,1"
1693509,1166.45,"2019,6,21"
5115047,8437.48,"2015,12,14"
2441266,18611.95,"2011,5,31"
229577,3586.55,"2011,6,10"
1685535,6257.95,"2017,1,15"
4604890,3227.29,"2012,10,6"
6021320,7005.48,"2015,2,19"
1373987,1009.86,"2017,3,9"
4968033,6282.17,"2015,7,10"
1001070,2377.17,"2017,5,28"
4186125,4486.27,"2015,12,2"
6465913,8745.81,"2016,11,14"
3874979,10714.50,"2012,7,29"
295807,9763.67,"2017,4,26"
651752,6731.20,"2014,8,15"
1379366,173.32,"2016,12,12"
100292,1121.55,"2019,3,2"
6249577,1034.44,"2013,7,13"
5872179,9849.96,"2019,11,26"
2396132,5138.13,"2015,12,26"
4291705,7543.71,"2017,11,30"
5654137,4493.98,"2011,5,14"
7076008,14164.79,"2014,11,29"
1470821,16040.22,"2018,7,26"
2945894,8094.99,"2014,10,16"
4296553,16274.27,"2011,12,13"
1752210,2538.12,"2015,5,10"
6001034,9067.24,"2017,5,6"
3844400,10505.89,"2015,7,14"
1104865,18650.41,"2013,3,27"
4979859,1013.13,"2018,12,23"
3243805,17336.55,"2011,8,16"
5486571,11408.49,"2017,12,16"
1704309,12920.53,"2019,2,12"
5058468,5490.93,"2015,4,17"
1360249,6677.32,"2011,5,2"
3737260,17059.12,"2015,3,20"
4985291,9812.76,"2019,8,20"
4083731,7327.47,"2018,6,27"
5842173,11071.38,"2016,6,21"
4112520,13153.22,"2016,7,3"
2187941,5130.39,"2012,9,27"
3936147,15186.97,"2012,1,12"
4107042,10092.51,"2014,4,1"
3117142,14182.34,"2016,3,13"
2118,1070.22,"2013,10,25"
4479252,15823.16,"2014,2,8"
1749711,12921.65,"2015,6,23"
5505720,12898.50,"2012,10,9"
2596333,13617.65,"2017,6,7"
4520365,11830.88,"2015,6,30"
4842820,17768.79,"2012,9,6"
3460593,4483.79,"2014,1,28"
6921751,18362.88,"2011,1,30"
4784855,1653.60,"2015,10,6"
2122790,4113.40,"2014,1,30"
586049,5792.28,"2013,2,17"
313532,6428.77,"2016,8,25"
2407251,17078.94,"2011,2,15"
5029327,13215.95,"2012,10,31"
6217067,9058.15,"2012,6,5"
2268961,13739.83,"2015,3,24"
916981,14436.73,"2015,12,10"
1958827,1521.13,"2017,11,13"
2636553,5154.11,"2015,3,25"
4482331,9762.47,"2014,6,28"
825557,1216.60,"2012,2,11"
6233790,16588.17,"2011,12,11"
1279232,8495.21,"2014,12,28"
1712673,13778.25,"2016,12,2"
4474110,1249.94,"2013,11,16"
3515714,5723.91,"2017,11,22"
2769600,7589.38,"2018,7,14"
900902,13790.11,"2013,8,17"
323766,9886.42,"2014,9,30"
5827698,15988.66,"2013,12,23"
5626776,10362.49,"2019,1,1"
3621470,18965.55,"2018,8,21"
6821034,10300.70,"2017,4,5"
3372569,14084.53,"2017,5,11"
4837091,269.14,"2012,6,9"
3281536,14506.28,"2014,11,2"
564320,494.68,"2017,11,19"
6924238,9203.90,"2011,11,28"
2157414,11547.20,"2012,3,9"
4520410,18532.54,"2014,12,1"
916981,3940.90,"2017,6,7"
1958827,8255.81,"2018,3,18"
2636553,3033.30,"2011,8,5"
4482331,1679.15,"2018,3,7"
825557,16996.86,"2012,10,22"
6233790,11763.71,"2017,12,18"
1279232,16011.27,"2016,3,14"
1712673,4757.92,"2012,3,16"
4474110,373.69,"2013,8,22"
3515714,10340.41,"2014,2,6"
2769600,16760.30,"2019,10,17"
900902,11859.60,"2012,6,12"
323766,1795.53,"2018,6,24"
5827698,14985.33,"2014,7,19"
5626776,9195.65,"2011,10,22"
3621470,7135.32,"2018,6,30"
6821034,16959.86,"2013,2,25"
3372569,4208.20,"2011,7,27"
4837091,18431.94,"2015,10,10"
3281536,14863.32,"2017,9,8"
564320,13331.98,"2016,5,26"
6924238,10972.10,"2017,6,18"
2157414,14528.93,"2018,2,8"
4520410,9977.86,"2018,11,19"
916981,5115.68,"2012,7,25"
1958827,14271.54,"2012,5,26"
2636553,11981.98,"2014,7,29"
4482331,14228.61,"2016,6,1"
825557,12885.87,"2011,9,14"
6233790,5272.54,"2011,12,26"
1279232,16701.90,"2012,2,21"
1712673,8796.91,"2014,11,21"
4474110,5674.24,"2019,6,24"
3515714,17707.55,"2012,5,26"
2769600,2649.36,"2012,5,25"
900902,9723.11,"2011,1,24"
323766,18141.31,"2015,2,17"
5827698,15734.19,"2011,9,22"
5626776,9122.85,"2018,8,10"
3621470,7149.50,"2014,7,12"
6821034,3717.63,"2015,3,24"
3372569,10467.57,"2015,5,31"
4837091,1663.53,"2017,2,18"
3281536,9960.18,"2019,12,26"
564320,11918.94,"2015,12,20"
6924238,8002.82,"2014,9,4"
2157414,5187.11,"2013,4,30"
4520410,15738.15,"2015,10,22"
916981,18821.72,"2019,8,5"
1958827,13920.81,"2015,3,17"
2636553,306.41,"2018,9,26"
4482331,9230.64,"2018,3,21"
825557,11650.37,"2013,11,26"
6233790,15463.28,"2016,3,27"
1279232,1275.13,"2013,5,17"
1712673,4783.12,"2018,7,1"
4474110,18858.73,"2013,7,18"
3515714,4809.46,"2015,9,26"
2769600,17154.36,"2011,8,16"
900902,8724.99,"2018,6,9"
323766,5268.60,"2011,2,14"
5827698,13743.30,"2017,7,10"
5626776,10239.28,"2011,6,13"
3621470,13203.54,"2013,12,4"
6821034,6882.38,"2014,2,12"
3372569,11176.54,"2019,7,9"
4837091,2264.63,"2018,1,13"
3281536,11349.76,"2014,6,22"
564320,12114.31,"2012,11,17"
6924238,3697.30,"2012,9,23"
2157414,8194.32,"2013,4,12"
4520410,884.13,"2013,7,21"
916981,8179.54,"2011,6,30"
1958827,7160.11,"2012,1,27"
2636553,11465.90,"2018,6,11"
4482331,2044.99,"2017,7,18"
825557,16233.87,"2012,5,12"
6233790,1760.79,"2016,3,3"
1279232,15404.73,"2012,3,12"
1712673,1225.21,"2015,9,7"
4474110,12663.10,"2016,11,2"
3515714,6618.23,"2015,1,23"
2769600,2682.38,"2018,12,3"
900902,12948.18,"2012,6,14"
323766,12935.71,"2011,12,5"
5827698,9133.25,"2017,9,2"
5626776,3632.95,"2013,4,27"
3621470,6864.99,"2016,2,9"
6821034,8943.53,"2015,9,18"
3372569,17962.76,"2019,7,25"
4837091,12025.76,"2011,7,14"
3281536,5027.35,"2011,4,4"
564320,13381.84,"2013,11,26"
6924238,1263.92,"2011,8,10"
2157414,2062.22,"2017,3,26"
4520410,14513.60,"2017,6,22"
916981,16982.70,"2014,9,7"
1958827,5400.78,"2013,2,18"
2636553,1569.65,"2014,9,28"
4482331,5666.53,"2017,12,16"
825557,2711.43,"2019,5,3"
6233790,4397.51,"2016,10,12"
1279232,1602.57,"2015,6,18"
1712673,2539.21,"2019,6,19"
4474110,6315.65,"2016,1,14"
3515714,10564.79,"2013,4,1"
2769600,17960.12,"2015,5,26"
900902,9863.15,"2015,8,4"
323766,9188.80,"2017,1,25"
5827698,2416.60,"2019,6,26"
5626776,4016.98,"2019,12,21"
3621470,12705.69,"2015,9,14"
6821034,12717.46,"2014,2,25"
3372569,7688.99,"2013,2,19"
4837091,6108.41,"2018,3,15"
3281536,18443.89,"2014,10,11"
564320,14833.98,"2014,10,13"
6924238,14999.42,"2018,8,5"
2157414,15910.61,"2018,5,4"
4520410,17675.39,"2018,4,13"
323766,11726.75,"2016,11,14"
5827698,11049.61,"2015,8,10"
5626776,4031.37,"2015,8,14"
3621470,6984.29,"2016,5,6"
6821034,15049.96,"2014,6,21"
3372569,13020.51,"2011,6,17"
4837091,6802.71,"2017,8,7"
3281536,18978.24,"2012,12,15"
564320,5123.40,"2018,1,4"
6924238,9658.26,"2015,6,26"
2157414,15604.89,"2015,8,12"
4520410,3630.42,"2018,7,26"
323766,2457.32,"2013,3,31"
5827698,711.18,"2014,6,26"
5626776,4824.51,"2012,12,8"
3621470,16622.20,"2017,4,21"
6821034,14552.85,"2015,5,11"
3372569,11066.22,"2019,11,19"
4837091,4132.41,"2015,12,12"
3281536,10734.42,"2019,9,30"
564320,5946.55,"2016,8,4"
6924238,8138.51,"2016,1,19"
2157414,16659.20,"2013,2,23"
4520410,3602.24,"2012,6,4"
323766,12434.48,"2018,6,27"
5827698,12582.20,"2014,5,4"
5626776,6361.57,"2015,7,4"
3621470,3407.23,"2015,3,4"
6821034,8877.52,"2012,3,8"
3372569,6398.87,"2015,5,26"
4837091,13599.98,"2013,12,3"
3281536,3115.38,"2019,10,6"
564320,11228.66,"2018,4,1"
6924238,10825.49,"2011,6,2"
2157414,10632.73,"2014,1,28"
4520410,14208.84,"2015,4,11"
323766,2344.66,"2015,5,23"
5827698,10487.89,"2014,7,9"
5626776,8182.81,"2014,9,21"
3621470,4020.73,"2011,2,28"
6821034,17947.82,"2018,2,15"
3372569,4920.28,"2015,8,31"
4837091,4175.23,"2014,3,21"
3281536,823.86,"2014,11,12"
564320,18026.74,"2012,12,15"
6924238,15234.60,"2016,5,26"
2157414,13666.46,"2018,12,17"
4520410,3445.92,"2016,6,23"
323766,4362.46,"2012,5,24"
5827698,17807.43,"2018,9,9"
5626776,3973.43,"2018,6,7"
3621470,17832.29,"2016,8,9"
6821034,10450.80,"2016,2,11"
3372569,12067.58,"2013,6,11"
4837091,12555.60,"2012,5,23"
3281536,2230.36,"2011,1,17"
564320,12574.64,"2017,9,5"
6924238,11216.60,"2017,4,13"
2157414,10217.25,"2013,5,28"
4520410,4322.54,"2012,1,30"
323766,10639.35,"2017,12,28"
5827698,2091.35,"2018,3,4"
5626776,7638.10,"2014,2,26"
3621470,11726.83,"2016,5,7"
6821034,1943.89,"2013,4,24"
3372569,823.17,"2013,8,7"
4837091,10907.39,"2019,5,2"
3281536,1179.86,"2019,11,23"
564320,3674.98,"2018,3,27"
6924238,7840.14,"2015,11,10"
2157414,13590.25,"2018,7,22"
4520410,5159.98,"2013,8,14"
323766,1439.11,"2014,2,12"
5827698,11145.41,"2019,2,5"
5626776,3649.25,"2014,2,17"
3621470,15303.22,"2015,4,10"
6821034,9751.76,"2017,9,25"
3372569,14369.45,"2012,3,7"
4837091,1266.43,"2016,8,7"
3281536,17667.22,"2016,10,30"
564320,1557.70,"2017,3,22"
6924238,16790.44,"2011,3,13"
2157414,6452.85,"2011,3,30"
4520410,9761.93,"2015,5,31"
5654137,7440.10,"2014,12,16"
7076008,15847.47,"2017,4,23"
1470821,6700.42,"2011,3,27"
2945894,3275.75,"2019,1,23"
4296553,11722.31,"2011,11,27"
1752210,14825.54,"2016,1,17"
6001034,9857.68,"2018,3,28"
3844400,14918.86,"2014,5,22"
1104865,15438.51,"2018,2,22"
4979859,4942.86,"2018,7,27"
3243805,9267.46,"2017,7,19"
5486571,13344.10,"2015,9,7"
1704309,16280.29,"2018,10,28"
5058468,10970.14,"2018,11,1"
1360249,8214.39,"2015,1,31"
3737260,3170.52,"2013,3,20"
4985291,7640.29,"2017,3,25"
4083731,542.48,"2019,6,11"
5842173,18242.83,"2013,2,21"
4112520,7504.50,"2017,8,31"
2187941,12827.31,"2013,12,5"
3936147,6830.69,"2019,1,5"
4107042,12282.83,"2013,6,7"
3117142,8993.90,"2018,3,16"
2118,15933.72,"2018,1,5"
4479252,16511.73,"2011,6,5"
1749711,14684.13,"2019,7,30"
5505720,8399.73,"2011,2,14"
